appeal_id,region,dept_name,sla_days_limit,category,priority,description_length,created_at,closed_at,status,processing_time_days,is_sla_breached,day_of_week,hour_of_day
APP-20000,Astana,Public Utilities,5,Service Quality,Low,92,2025-11-03 13:00:00,2025-11-16 10:30:19,Closed,12.896053240740741,True,Monday,13
APP-20001,Almaty,Education Ministry,10,Financial Support,Medium,133,2026-01-03 23:00:00,2026-01-07 15:44:04,Closed,3.6972685185185186,False,Saturday,23
APP-20002,Astana,Education Ministry,10,Infrastructure,Low,109,2025-11-14 16:00:00,2025-11-28 04:43:35,Closed,13.530266203703704,True,Friday,16
APP-20003,Astana,Housing Administration,21,Financial Support,Medium,120,2026-03-28 19:00:00,2026-04-03 22:33:59,Closed,6.148599537037037,False,Saturday,19
APP-20004,Astana,Housing Administration,21,Information Request,Medium,95,2025-12-04 18:00:00,2025-12-15 02:41:20,Closed,10.362037037037037,False,Thursday,18
APP-20005,Astana,Healthcare Board,7,Information Request,Low,73,2025-12-16 03:00:00,2026-01-01 07:00:46,Closed,16.167199074074073,True,Tuesday,3
APP-20006,Aktobe,Housing Administration,21,Information Request,Medium,113,2025-11-15 10:00:00,,In Progress,,False,Saturday,10
APP-20007,Astana,Public Utilities,5,Service Quality,Low,69,2025-10-27 21:00:00,2025-11-14 03:35:10,Closed,17.274421296296296,True,Monday,21
APP-20008,Almaty,Education Ministry,10,Financial Support,High,271,2026-03-03 05:00:00,2026-03-11 02:44:10,Closed,7.905671296296297,False,Tuesday,5
APP-20009,Almaty,Healthcare Board,7,Information Request,Medium,79,2025-11-01 10:00:00,,In Progress,,False,Saturday,10
APP-20010,Astana,Healthcare Board,7,Service Quality,Low,120,2026-03-10 17:00:00,2026-03-23 11:34:58,Closed,12.774282407407407,True,Tuesday,17
APP-20011,Almaty,Healthcare Board,7,Information Request,Low,117,2026-03-23 10:00:00,,In Progress,,False,Monday,10
APP-20012,Almaty,Housing Administration,21,Infrastructure,Medium,103,2025-10-29 10:00:00,2025-11-05 20:58:58,Closed,7.45761574074074,False,Wednesday,10
APP-20013,Aktobe,Dept of Transportation,14,Infrastructure,Medium,150,2025-11-08 05:00:00,2025-11-18 22:48:17,Closed,10.741863425925926,False,Saturday,5
APP-20014,Shymkent,Healthcare Board,7,Financial Support,Low,64,2026-02-15 09:00:00,2026-02-28 07:28:22,Closed,12.93636574074074,True,Sunday,9
APP-20015,Shymkent,Education Ministry,10,Infrastructure,Low,137,2025-12-02 19:00:00,2025-12-17 04:35:29,Closed,14.399641203703704,True,Tuesday,19
APP-20016,Almaty,Dept of Transportation,14,Financial Support,High,290,2025-10-19 19:00:00,2025-10-26 14:48:39,Closed,6.825451388888889,False,Sunday,19
APP-20017,Astana,Healthcare Board,7,Financial Support,Low,90,2025-10-17 19:00:00,2025-10-31 22:01:31,Closed,14.12605324074074,True,Friday,19
APP-20018,Astana,Dept of Transportation,14,Service Quality,Low,143,2025-11-29 08:00:00,2025-12-11 16:38:09,Closed,12.359826388888889,False,Saturday,8
APP-20019,Astana,Education Ministry,10,Financial Support,Low,122,2026-02-11 00:00:00,2026-02-20 19:01:57,Closed,9.793020833333333,False,Wednesday,0
APP-20020,Shymkent,Education Ministry,10,Service Quality,Medium,49,2025-10-19 03:00:00,2025-10-24 12:46:50,Closed,5.407523148148148,False,Sunday,3
APP-20021,Almaty,Public Utilities,5,Financial Support,Medium,112,2026-03-17 23:00:00,2026-03-30 02:27:24,Closed,12.144027777777778,True,Tuesday,23
APP-20022,Almaty,Dept of Transportation,14,Service Quality,Medium,115,2026-02-08 08:00:00,2026-02-14 03:25:04,Closed,5.809074074074074,False,Sunday,8
APP-20023,Almaty,Public Utilities,5,Financial Support,High,302,2026-02-27 04:00:00,2026-03-06 22:17:59,Closed,7.762488425925926,True,Friday,4
APP-20024,Almaty,Housing Administration,21,Financial Support,Medium,121,2026-03-17 16:00:00,2026-03-25 16:09:50,Closed,8.006828703703704,False,Tuesday,16
APP-20025,Astana,Healthcare Board,7,Infrastructure,Medium,119,2026-02-02 07:00:00,2026-02-05 08:54:39,Closed,3.0796180555555557,False,Monday,7
APP-20026,Astana,Public Utilities,5,Service Quality,Low,131,2025-12-08 17:00:00,2025-12-27 13:01:55,Closed,18.834664351851853,True,Monday,17
APP-20027,Shymkent,Housing Administration,21,Financial Support,Medium,122,2025-10-12 03:00:00,2025-10-15 06:43:03,Closed,3.1548958333333332,False,Sunday,3
APP-20028,Astana,Dept of Transportation,14,Financial Support,Medium,119,2026-02-02 17:00:00,2026-02-13 16:29:00,Closed,10.978472222222223,False,Monday,17
APP-20029,Astana,Dept of Transportation,14,Financial Support,Medium,146,2025-12-02 08:00:00,2025-12-08 18:55:50,Closed,6.455439814814815,False,Tuesday,8
APP-20030,Astana,Education Ministry,10,Financial Support,High,309,2025-10-15 13:00:00,2025-10-23 09:01:11,Closed,7.834155092592592,False,Wednesday,13
APP-20031,Almaty,Dept of Transportation,14,Information Request,Medium,113,2025-11-06 07:00:00,2025-11-13 03:17:13,Closed,6.845289351851852,False,Thursday,7
APP-20032,Shymkent,Public Utilities,5,Information Request,Medium,159,2025-12-13 21:00:00,,In Progress,,False,Saturday,21
APP-20033,Almaty,Healthcare Board,7,Financial Support,Low,98,2025-10-05 05:00:00,2025-10-21 06:55:57,Closed,16.080520833333335,True,Sunday,5
APP-20034,Almaty,Dept of Transportation,14,Infrastructure,Medium,66,2025-10-31 18:00:00,2025-11-09 02:45:24,Closed,8.36486111111111,False,Friday,18
APP-20035,Almaty,Public Utilities,5,Information Request,Medium,88,2025-10-17 07:00:00,,In Progress,,False,Friday,7
APP-20036,Almaty,Dept of Transportation,14,Information Request,High,207,2026-02-24 08:00:00,2026-03-03 12:17:47,Closed,7.1790162037037035,False,Tuesday,8
APP-20037,Almaty,Healthcare Board,7,Information Request,Medium,99,2025-12-03 20:00:00,,In Progress,,False,Wednesday,20
